"","UA","area.floresta1500","area.floresta1000","area.floresta750","area.floresta500","eucl1500","eucl1000","eucl750","eucl500","X.y","bdodmean","cecmean","claymean","nitrogenmean","phh2omean","sandmean","bio1","bio5","bio4","bio6","bio7","bio12","bio13","bio14","bio15","elev","X (Longitude)","Y (Latitude)","Freq","FT","stage","X","dur_uso_anos","n.changes","freq.fire","forest.type"
"248","796",443.88,224.37,132.03,62.37,180,201.246117974981,270,8010,300,0.097,1.943,5.132,0.375,0.502,2.072,2905,2992,3127,2816,176,16454,1869,975,214,768,595476,7043099,72.6971166113805,"Floresta Ombrófila Densa","Estádio Avançado de Regeneração",292,29,10,2,"FOD"
"251","801",667.44,305.37,172.53,76.95,6215.86679393952,7290,7740,8190,303,0.095,2.313,5.495,0.428,0.497,1.94,2900,2980,2915,2820,160,20411,2508,1207,232,719,640082,7042535,97.8305257784584,"Floresta Ombrófila Densa","Estádio Avançado de Regeneração",295,22,8,1,"FOD"
"252","802",306.99,160.38,99.63,48.6,180,180,180,8190,304,0.101,1.9,4.663,0.266,0.502,2.387,2911,2990,2964,2831,159,17785,2269,1019,254,575,649179,7042591,53.1194295900178,"Floresta Ombrófila Densa","Estádio Médio de Regeneração",296,27,14,2,"FOD"
"257","832",179.01,110.97,81,56.7,180,180,180,8100,314,0.1,1.925,5.738,0.334,0.51,1.063,2895,2977,2949,2815,162,24390,2716,1475,159,1085,407416,7053111,42.412649834226,"Floresta Ombrófila Mista","Estádio Avançado de Regeneração",306,32,13,7,"FOM"
"258","836",107.73,89.1,65.61,38.88,180,180,180,8284.40100429717,315,0.098,1.887,6.015,0.316,0.51,1.343,2883,2967,2939,2802,165,26031,2824,1538,165,1273,442995,7053114,27.8797145769623,"Floresta Ombrófila Mista","Estádio Médio de Regeneração",307,32,16,12,"FOM"
"259","837",230.04,144.18,97.2,49.41,180,180,201.246117974981,254.558441227157,316,0.094,1.945,5.775,0.366,0.51,1.207,2881,2966,2956,2800,166,24690,2692,1462,170,1294,452208,7053630,49.1707068129625,"Floresta Ombrófila Mista","Estádio Médio de Regeneração",308,31,14,8,"FOM"
"260","843",537.84,235.71,136.89,67.23,180,180,180,11421.4928971654,317,0.092,2.247,5.837,0.365,0.507,1.323,2882,2968,2977,2800,168,19702,2100,1191,177,1256,524755,7052872,73.0357142857143,"Floresta Ombrófila Mista","Estádio Avançado de Regeneração",309,11,11,2,"FOM"
"261","845",334.53,169.29,97.2,48.6,180,180,12032.0945807453,201.246117974981,318,0.097,2.165,5.133,0.308,0.49,1.655,2892,2978,3012,2809,169,19508,2151,1176,194,1071,541802,7053286,47.4528782475802,"Floresta Ombrófila Mista","Estádio Médio de Regeneração",310,16,12,3,"FOM"
"262","847",588.06,275.4,170.91,79.38,180,180,8820,9360,319,0.09,2.19,5.287,0.354,0.49,1.617,2894,2979,3024,2810,169,20090,2237,1218,204,1018,559712,7053287,87.1428571428571,"Floresta Ombrófila Mista","Estádio Avançado de Regeneração",311,14,13,2,"FOM"
"263","850",332.91,217.89,129.6,63.18,180,180,8730,201.246117974981,320,0.108,2.068,4.592,0.342,0.518,2.442,2917,3005,3205,2827,178,15554,1743,941,202,547,586592,7053132,68.301404853129,"Floresta Ombrófila Mista","Estádio Médio de Regeneração",312,25,12,2,"FOM"
